Name,Date,Days since incident,Form of Incident,Key Motivation,Fatalities,Injured,Details/Description,Extra-Parliamentary Groups and Networks,PB Role,City,State/Province/Region,Country,Source,Source 2,Source 3,Date added,Note,Contested,Attachments,Location,Notes,Party,Party Name (from Party)
"Portland, Oregon, USA",8/17/19,643,,,,,End Antifa Terrorism ,Proud Boys,Organized,Portland,Oregon,USA,"https://twitter.com/ashkenaz89/status/1162396970784182272?s=20
",,,18/5/2021 8:37am,SOURCES,checked,,"Portland, Oregon, USA",🔵 eyJpIjoiT3JlZ29uIiwibyI6eyJzdGF0dXMiOiJPSyIsImZvcm1hdHRlZEFkZHJlc3MiOiJPcmVnb24sIFVTQSIsImxhdCI6NDMuODA0MTMzNCwibG5nIjotMTIwLjU1NDIwMTIsImJsb2NrSW5zdGFsbGF0aW9uSWRzIjpbImJsaXNqVTNPZmc0ekFhT3dsIl0sImxvY2F0aW9uRmllbGRJZCI6ImZsZGtjM0MzQ0FjOGJWanVRIn0sImUiOjE2MjM5MTE4MjIzNTF9,,
"Portland, Oregon, USA",8/17/19,643,,,,,Intimidation and harrassment of museum patrons,Proud Boys,Targeted,Portland,Oregon,USA,https://www.wweek.com/news/2019/08/17/proud-boys-wander-lost-through-portland-as-police-allow-wild-goose-chase-by-antifascists/,,,18/5/2021 8:38am,,,,"Portland, Oregon, USA",🔵 eyJpIjoiT3JlZ29uIiwibyI6eyJzdGF0dXMiOiJPSyIsImZvcm1hdHRlZEFkZHJlc3MiOiJPcmVnb24sIFVTQSIsImxhdCI6NDMuODA0MTMzNCwibG5nIjotMTIwLjU1NDIwMTIsImJsb2NrSW5zdGFsbGF0aW9uSWRzIjpbImJsaXNqVTNPZmc0ekFhT3dsIl0sImxvY2F0aW9uRmllbGRJZCI6ImZsZGtjM0MzQ0FjOGJWanVRIn0sImUiOjE2MjM5MTE4ODY0NDd9,,
"Washington, DC, USA",7/6/19,685,,,,,Rally for Free Speech,Proud Boys,Coattended,Washington,DC,USA,https://www.thedailybeast.com/proud-boys-and-allies-to-rally-in-dc-to-capitalize-on-trumpstravaganza,,,18/5/2021 8:36am,,,,"Washington, DC, USA",🔵 eyJpIjoiREMiLCJvIjp7InN0YXR1cyI6Ik9LIiwiZm9ybWF0dGVkQWRkcmVzcyI6IjkwNiBTaWdnaW5zIFN0LCBDb2ZmZXl2aWxsZSwgS1MgNjczMzcsIFVTQSIsImxhdCI6MzcuMDM0NDU5NCwibG5nIjotOTUuNjU0MDEwMzk5OTk5OTksImJsb2NrSW5zdGFsbGF0aW9uSWRzIjpbImJsaXNqVTNPZmc0ekFhT3dsIl0sImxvY2F0aW9uRmllbGRJZCI6ImZsZGtjM0MzQ0FjOGJWanVRIn0sImUiOjE2MjM5MTE4MDk4MjF9,,
"Portland, Oregon, USA",6/29/19,692,,,,,Counter Revolution Against Domestic Terrorists,Proud Boys,Coattended,Portland,Oregon,USA,https://itsgoingdown.org/shake-back-streets/,,,18/5/2021 8:58am,,,,"Portland, Oregon, USA",🔵 eyJpIjoiT3JlZ29uIiwibyI6eyJzdGF0dXMiOiJPSyIsImZvcm1hdHRlZEFkZHJlc3MiOiJPcmVnb24sIFVTQSIsImxhdCI6NDMuODA0MTMzNCwibG5nIjotMTIwLjU1NDIwMTIsImJsb2NrSW5zdGFsbGF0aW9uSWRzIjpbImJsaXNqVTNPZmc0ekFhT3dsIl0sImxvY2F0aW9uRmllbGRJZCI6ImZsZGtjM0MzQ0FjOGJWanVRIn0sImUiOjE2MjM5MTMxMjUzMDR9,,
"Philadelphia, Pennsylvania, USA",6/29/19,692,,,,,"Stalking, harrassment and intimidation of Gwen Synder, far right researcher.",Proud Boys,Organized,Philadelphia,Pennsylvania,USA,https://twitter.com/AntiFashGordon/status/1145722550636437512,,,18/5/2021 8:38am,SOURCES,checked,,"Philadelphia, Pennsylvania, USA",🔵 eyJpIjoiUGVubnN5bHZhbmlhIiwibyI6eyJzdGF0dXMiOiJPSyIsImZvcm1hdHRlZEFkZHJlc3MiOiJQZW5uc3lsdmFuaWEsIFVTQSIsImxhdCI6NDEuMjAzMzIxNiwibG5nIjotNzcuMTk0NTI0NywiYmxvY2tJbnN0YWxsYXRpb25JZHMiOlsiYmxpc2pVM09mZzR6QWFPd2wiXSwibG9jYXRpb25GaWVsZElkIjoiZmxka2MzQzNDQWM4YlZqdVEifSwiZSI6MTYyMzkxMTkyNzQ0NX0=,,
"Houston, Texas, USA",6/22/19,699,,,,,Texans Against Communism,Proud Boys,Coattended,Houston,Texas,USA,"
https://www.houstonpress.com/news/highlights-from-the-texans-against-communism-event-in-the-woodlands-11312244",,,18/5/2021 8:37am,,,,"Houston, Texas, USA",🔵 eyJpIjoiVGV4YXMiLCJvIjp7InN0YXR1cyI6Ik9LIiwiZm9ybWF0dGVkQWRkcmVzcyI6IlRleGFzLCBVU0EiLCJsYXQiOjMxLjk2ODU5ODgsImxuZyI6LTk5LjkwMTgxMzEsImJsb2NrSW5zdGFsbGF0aW9uSWRzIjpbImJsaXNqVTNPZmc0ekFhT3dsIl0sImxvY2F0aW9uRmllbGRJZCI6ImZsZGtjM0MzQ0FjOGJWanVRIn0sImUiOjE2MjM5MTE4NDgzMzR9,,
"Orlando, Florida, USA",6/19/19,702,,Pro Trump,,,Trump's 2020 Campaign Kickoff,Proud Boys,Coattended,Orlando,Florida,USA,https://www.huffpost.com/entry/donald-trump-orlando-proud-boys-qanon-infowars-extremists_n_5d0a2f14e4b0f7b7442a11ca,,,18/5/2021 8:43am,,,,"Orlando, Florida, USA",🔵 eyJpIjoiRmxvcmlkYSIsIm8iOnsic3RhdHVzIjoiT0siLCJmb3JtYXR0ZWRBZGRyZXNzIjoiRmxvcmlkYSwgVVNBIiwibGF0IjoyNy42NjQ4Mjc0LCJsbmciOi04MS41MTU3NTM1LCJibG9ja0luc3RhbGxhdGlvbklkcyI6WyJibGlzalUzT2ZnNHpBYU93bCJdLCJsb2NhdGlvbkZpZWxkSWQiOiJmbGRrYzNDM0NBYzhiVmp1USJ9LCJlIjoxNjIzOTEyMjMyODg4fQ==,,
"Orlando, Florida, USA",6/18/19,703,,Pro Trump,,,Trump Rally,Proud Boys,Coattended,Orlando,Florida,USA,https://www.huffpost.com/entry/donald-trump-orlando-proud-boys-qanon-infowars-extremists_n_5d0a2f14e4b0f7b7442a11ca,,,18/5/2021 8:38am,,,,"Orlando, Florida, USA",🔵 eyJpIjoiRmxvcmlkYSIsIm8iOnsic3RhdHVzIjoiT0siLCJmb3JtYXR0ZWRBZGRyZXNzIjoiRmxvcmlkYSwgVVNBIiwibGF0IjoyNy42NjQ4Mjc0LCJsbmciOi04MS41MTU3NTM1LCJibG9ja0luc3RhbGxhdGlvbklkcyI6WyJibGlzalUzT2ZnNHpBYU93bCJdLCJsb2NhdGlvbkZpZWxkSWQiOiJmbGRrYzNDM0NBYzhiVmp1USJ9LCJlIjoxNjIzOTExOTM4NDI5fQ==,,
"Hamilton, Ontario, CA",6/8/19,713,,,,,Yellow Vest Protest,Proud Boys,Coattended,Hamilton,Ontario,CA,http://anti-racistcanada.blogspot.com/2019/06/hamilton-yellow-vests-rally-draws.html,,,18/5/2021 8:37am,,,,"Hamilton, Ontario, CA",🔵 eyJpIjoiT250YXJpbyIsIm8iOnsic3RhdHVzIjoiT0siLCJmb3JtYXR0ZWRBZGRyZXNzIjoiT250YXJpbywgQ2FuYWRhIiwibGF0Ijo1MS4yNTM3NzUsImxuZyI6LTg1LjMyMzIxNCwiYmxvY2tJbnN0YWxsYXRpb25JZHMiOlsiYmxpc2pVM09mZzR6QWFPd2wiXSwibG9jYXRpb25GaWVsZElkIjoiZmxka2MzQzNDQWM4YlZqdVEifSwiZSI6MTYyMzkxMTg2NTkwOX0=,,
"London, London, UK",6/5/19,716,,Pro Trump,,,Donald Trump UK Visit,Proud Boys,Coattended,London,London,UK,https://www.youtube.com/watch?v=8ja_aAB-GIE,,,18/5/2021 8:36am,SOURCES,checked,,"London, London, UK",🔵 eyJpIjoiTG9uZG9uIiwibyI6eyJzdGF0dXMiOiJPSyIsImZvcm1hdHRlZEFkZHJlc3MiOiJMb25kb24sIFVLIiwibGF0Ijo1MS41MDczNTA5LCJsbmciOi0wLjEyNzc1ODMsImJsb2NrSW5zdGFsbGF0aW9uSWRzIjpbImJsaXNqVTNPZmc0ekFhT3dsIl0sImxvY2F0aW9uRmllbGRJZCI6ImZsZGtjM0MzQ0FjOGJWanVRIn0sImUiOjE2MjM5MTE3OTIzMjJ9,,
